num_iterations	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
2705	0.0257784069918646	0.394878832879551	579	1	0.943707075074567	16			2416.25	-0.000168630337073332		0.0100000000020373	infill_ei	0.389999999999418	0.000534169173538525	0.945376893011853	36
2995	0.0237833234726481	0.601262320996316	686	6	0.943599023289217	15			2238.3	-0.000346989506861395		0.0400000000008731	infill_ei	0.680000000000291	0.00184563583317339	0.944490188526861	35
1372	0.0541665665814613	0.213911879689893	2020	4	0.943141705604154	1			2094.81	-0.00160290376878125		0.0900000000001455	infill_ei	0.329999999999927	0.0025272989700103	0.94410104350492	21
1835	0.0214869213843554	0.375666073622076	1025	872	0.94307550616981	0			777.8				initdesign				8
2895	0.00519355812535726	0.498968006651109	680	1	0.942652823771357	91			5775.01	-0.000651514329612467		0.160000000003492	infill_ei	0.809999999997672	0.00286909623985529	0.946312779338875	111
2993	0.00919428641137508	0.330290212405319	1013	9	0.942093046437603	77			6320.48000000001	-0.00162435121307809		0.110000000000582	infill_ei	0.639999999999418	0.0029578069172371	0.948290933803084	97
2026	0.0142591610977042	0.373461862284224	693	7	0.942046497191577	78			3575.64999999999	-0.000557133361232385		0.0700000000069849	infill_ei	0.929999999993015	0.00269798716657023	0.946214449791705	98
1563	0.054549247418974	0.296935587183249	756	1	0.942011175235263	2			1288.37	-0.000788138297497776		0.0200000000004366	infill_ei	0.390000000000327	0.00135967416399789	0.943577793919216	22
2966	0.0092449212688322	0.575536367641786	883	1	0.941877355559996	41			4544.09	-0.00154215825881247		0.0299999999988358	infill_ei	0.350000000002183	0.00292967587006701	0.948171984886677	61
2186	0.0629304415613371	0.749155741308209	564	647	0.941732270655569	0			875.47				initdesign				7
1723	0.0294164588627992	0.494658985487833	2048	378	0.941601398817856	3			1717.24	-0.000749553512860853		0.0300000000006548	infill_ei	0.369999999998981	0.00148375484195333	0.943434043311124	23
1900	0.0123730545738072	0.78630471747732	601	3	0.941564364420815	51			2761.28	-0.000588348969903886		0.0499999999956344	infill_ei	0.590000000003784	0.00328962429353559	0.945634178325609	71
2118	0.0208784751589122	0.99950183222577	769	6	0.941493278214817	21			2829.87	-5.80206390412421e-05		0.0799999999999272	infill_ei	0.729999999999563	0.00366637741983486	0.941040150467342	41
2256	0.0173434824541995	0.368301908187454	353	16	0.941327728784649	54			2556.34	-0.000499305942736835		0.0500000000029104	infill_ei	0.489999999997963	0.0029726476289226	0.945697279173703	74
2999	0.00506507940084484	0.354166341338801	1180	781	0.941310056384403	20			1845.97	-9.24757356547477e-05		0.130000000000109	infill_ei	0.710000000000036	0.00107529249728822	0.946431207447757	40
2016	0.0997140824179283	0.388466350645684	1689	1	0.941193147674442	25			1316.42	-3.58707472492686e-05		0.0799999999999272	infill_ei	0.530000000000655	0.00217340913950784	0.943702844009156	45
2678	0.0147450209301055	0.304950249562329	1055	7	0.941184070620398	90			4903.53	-0.000427762550308695		0.0900000000110595	infill_ei	0.569999999992433	0.00232686332853002	0.946216975785591	110
3000	0.0135938143228206	0.40131717052045	918	4	0.940966210863438	42			3378.88	-0.000971336826942261		0.0299999999988358	infill_ei	0.360000000000582	0.00228408986040771	0.947606342001393	62
2785	0.0141152584570591	0.45728138613103	384	2	0.940960038926476	93			3421.40999999999	-0.000448487568680128		0.100000000005821	infill_ei	0.570000000006985	0.00290361822303937	0.945590862208047	113
2041	0.0214756663190395	0.422318746332062	1319	42	0.94086209529196	79			4584.14	-0.000896080985367161		0.0599999999976717	infill_ei	0.580000000001746	0.00344373691561221	0.946395815123305	99
2783	0.00808968340395658	0.797026001813459	999	2	0.940541474852623	38			5027.06	-0.0021155862391104		0.0599999999994907	infill_ei	0.360000000000582	0.00223827009098449	0.949349686696369	58
2000	0.0100549649442005	0.493903907383107	1190	1	0.940511329501741	71			5964.95	-0.000228484768528954		0.0800000000017462	infill_ei	0.5	0.00268290858022443	0.944836593459586	91
2671	0.024186303752324	0.720954630563022	629	14	0.940374528898347	86			2000.78999999999	-0.000465829307333552		0.0799999999871943	infill_ei	0.570000000006985	0.00276407281178384	0.945828649753582	106
2027	0.00990421245951812	0.419414044646327	483	100	0.940295116512883	99			2533.72	-0.000298126697931631		0.220000000001164	infill_ei	0.679999999993015	0.0035693935107628	0.943923804331529	119
1388	0.0994546785019398	0.999226195654346	41	1158	0.940204256978175	28			241.41	-1.24243734179157e-05		0.159999999999854	infill_ei	0.789999999997235	0.00372113552411585	0.938813221894738	48
2903	0.0309245798677051	0.331943080676929	626	41	0.940130955205842	43			2130.05	-0.00224245491736022		0.0299999999988358	infill_ei	0.480000000003201	0.00277813422826794	0.949301082894776	63
2962	0.00502425714420881	0.550281660481112	1147	3	0.940014081384066	52			9769.88	-0.000822194714494006		0.0300000000061118	infill_ei	0.469999999993888	0.00252855529613921	0.947090478869523	72
907	0.0865456596855068	0.652347590010217	867	87	0.939928743522647	0			794.1				initdesign				17
1381	0.056394190383491	0.799001337221656	1461	2902	0.939868903505982	0			197.77				initdesign				4
2941	0.0311946924315521	0.343619268807993	1188	6	0.939865751464384	58			2502.86	-0.0032005261306537		0.0599999999976717	infill_ei	0.419999999998254	0.00300002540345688	0.950429617460813	78
2008	0.0200046733334853	0.226899590827203	1139	2	0.939751264364694	96			3427.89	-0.000164707322527315		0.0899999999965075	infill_ei	0.660000000003493	0.0031011925906266	0.943684648498531	116
2080	0.0121209090915425	0.394183511891446	1051	51	0.939692327673507	100			5180.31	-0.000270016666480753		0.100000000005821	infill_ei	0.579999999987194	0.00295773405813489	0.944674114511503	120
1279	0.0487850021252014	0.597182889540922	106	2652	0.939671503989094	0			175.2				initdesign				10
2184	0.0465443607069877	0.29923612421534	1908	13	0.939667102217862	36			2522.4	-0.0005224896869915		0.0599999999994907	infill_ei	0.350000000000364	0.00288976673176447	0.945879237865259	56
