learning_rate	feature_fraction	num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	num_iterations	iter
0.0100038748439022	0.643923958742648	72	2691	0.907416384297777	1			105.39	-0.00216261666864162		0.0800000000000409	infill_ei	0.279999999999973	0.00339913257635639	0.910522293781275	574	17
0.027142501794683	0.989808787002603	953	3088	0.907277391938074	6			52.6899999999996	-0.00126869007149887		0.0399999999999636	infill_ei	0.289999999999964	0.00429215786746583	0.908157401504174	232	22
0.0549615526291316	0.320660236969085	1559	3001	0.907276360900383	0			46.6100000000001				initdesign				101	12
0.0198129492785243	0.985535696269857	158	1347	0.906807808047513	27			101.03	-0.00139304126392887		0.0399999999999636	infill_ei	0.380000000000109	0.00206371726383403	0.911845577031588	229	43
0.123465011229005	0.41095525111245	454	4042	0.906752573960336	0			29.07				initdesign				59	2
0.0320352822306695	0.465175269597255	2048	1235	0.906710268615414	17			103.75	-0.000987584175864403		0.0299999999997453	infill_ei	0.369999999999891	0.00161904822957678	0.910003221822577	108	33
0.0327160191841666	0.82913920873313	705	1139	0.906642045673503	21			84.3000000000002	-0.000831340812069505		0.0299999999997453	infill_ei	0.340000000000146	0.00109004497309556	0.911527281775386	113	37
0.0362755022198795	0.771350902790474	114	1298	0.906566473522752	26			82.3400000000001	-0.00160273191280345		0.0399999999999636	infill_ei	0.389999999999418	0.00221823563016805	0.912070037148323	138	42
0.0100828313620309	0.998157718839439	153	1162	0.906498839439408	9			162.72	-0.00128021902272419		0.0200000000004366	infill_ei	0.309999999999491	0.00453563727520917	0.907952370997139	418	25
0.0129302559358411	0.815470249275546	677	1255	0.906365485937747	23			117.969999999999	-0.0015940602411453		0.0599999999994907	infill_ei	0.360000000000582	0.00250187956530094	0.911908570971208	270	39
0.0100079550838496	0.696618394620756	949	1438	0.906268127707729	5			112.230000000001	-0.00163484414460626		0.0299999999997453	infill_ei	0.359999999999673	0.00179044178706271	0.910548871666758	305	21
0.0506804169622405	0.175401096975753	8	3380	0.906051457875515	8			30.1400000000003	-0.000859414663366959		0.0499999999992724	infill_ei	0.300000000000182	0.00429262039343902	0.907019785195128	295	24
0.0226037435371458	0.745656227092847	1595	1072	0.905853463200674	24			115.44	-0.000953863428315903		0.0299999999997453	infill_ei	0.369999999999891	0.00229838291758941	0.910955251877825	145	40
0.0736454071929899	0.559393685934806	1443	6814	0.905824385341186	0			29.16				initdesign				89	6
0.0494026859434876	0.999990948999819	698	2386	0.905507846690853	2			43.0199999999999	-0.000957258215829061		0.0100000000001046	infill_ei	0.279999999999973	0.00235950925912807	0.90916443147574	78	18
0.0324706357276922	0.14823738977479	1118	7321	0.905309935379614	0			45.7000000000001				initdesign				360	8
0.0102021435814868	0.395719728306798	8	5321	0.905230442880661	18			88.4099999999999	-0.00190329046530425		0.0100000000002183	infill_ei	0.329999999999927	0.00555175780182204	0.90875284039526	1067	34
0.0101864236249722	0.999974651208992	1522	1104	0.90485568944635	12			177.69	-0.000706060941215042		0.0300000000006548	infill_ei	0.329999999999927	0.000994344660478063	0.909647453895109	348	28
0.183710193428815	0.692858803915938	730	4651	0.904561555512974	0			20.28				initdesign				27	5
0.104201817989286	0.3409853425488	266	1929	0.904368476095185	0			50.61				initdesign				62	9
0.0101234292264891	0.807646401942128	2047	1877	0.904351536759668	19			139.12	-0.0014836582820765		0.0399999999999636	infill_ei	0.350000000000364	0.00229887809534689	0.910378237451885	483	35
0.0939873884938429	0.876531304026083	1968	3854	0.904238914202687	0			30.3				initdesign				57	7
0.199184712476369	0.497837645298622	1220	5347	0.903964610389244	0			25.96				initdesign				35	3
0.078452477253297	0.998106590105015	2031	1123	0.903190246028689	7			82.54	-0.00188524878673825		0.0300000000006548	infill_ei	0.300000000000182	0.00276863756047094	0.910449060022315	44	23
0.172579032401453	0.486700565525672	609	7981	0.902973623337228	0			21.41				initdesign				43	16
0.265935923185385	0.910037994170946	257	5877	0.902448067809365	0			18.78				initdesign				17	10
0.0115240032487184	0.109511844661563	507	1197	0.902234736036309	30			245.17	-0.00126771237364213		0.0300000000006548	infill_ei	0.389999999999418	0.00249942601372729	0.911512057674964	794	46
0.213120452711662	0.725472899530342	31	2761	0.901222085109847	0			24.53				initdesign				20	1
0.24083628763071	0.776433391242904	1824	2482	0.901009825889892	0			37.67				initdesign				16	13
0.293620013639119	0.237211088535529	1703	6193	0.900976363305481	0			22.97				initdesign				31	11
0.136916614719645	0.628112961901351	1284	513	0.899393558277821	0			140.69				initdesign				16	4
0.0100001300361779	0.993035373931133	1512	12	0.892297308322302	4			3856.76	-0.000844566298448836		0.0199999999999818	infill_ei	0.279999999999973	0.00212388228835563	0.909127215336599	1192	20
0.259550937261309	0.195846679902428	796	256	0.880010223142997	0			181.67				initdesign				39	14
