num_leaves	num_iterations	learning_rate	feature_fraction	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
318	1794	0.0103177756833467	0.206149591682651	336	0.926458478571874	36			108.940000000001	-0.000258804180649757		0.0300000000006548	infill_ei	0.309999999999491	0.000775693057091535	0.92799507249344	56
25	839	0.0101197267822263	0.459926193339628	88	0.926373895612883	68			46.619999999999	-0.000398450582720956		0.110000000000582	infill_ei	0.420000000000073	0.00164588663401785	0.927498595936707	88
1030	1731	0.0105150900509519	0.327004974548586	15	0.926367815210489	16			2012.78	-0.000598308512092073		0.0199999999999818	infill_ei	0.25	0.000518882877667891	0.92835000874248	36
364	2000	0.0104377768230465	0.161112453349603	156	0.926288469871057	80			240.050000000001	-1.6477812386941e-05		0.140000000001237	infill_ei	0.449999999998909	0.000618736083210975	0.927148375822769	100
676	1629	0.0103839432485165	0.101429064239432	201	0.926247777495448	15			148.57	-0.00027282414933685		0.0500000000001819	infill_ei	0.230000000000018	0.000363073065305193	0.927997763645878	35
10	1808	0.0255261644425419	0.390543555679422	173	0.926223889014967	42			48.25	-4.59122747146749e-05		0.0600000000013097	infill_ei	0.329999999999927	0.000868893675293816	0.927034359655105	62
950	1878	0.037366266957808	0.150853208302666	306	0.926144337363084	17			127.2	-0.000270709145952174		0.0199999999995271	infill_ei	0.230000000000473	0.000667158584890576	0.927797647239164	37
1288	1336	0.0548644850522055	0.416000615170793	162	0.926137468118246	9			203.42	-0.000349957318501631		0	infill_ei	0.2199999999998	0.00101848653878663	0.926666379886467	29
2044	1766	0.0202045034524718	0.232546876013224	162	0.926118827100461	38			254.77	-2.44870508741456e-05		0.0900000000001455	infill_ei	0.359999999998763	0.000956311015880961	0.926611739298534	58
15	1998	0.0100317338661015	0.394090091166259	14	0.926050710976018	12			72.5	-0.0009812887963355		0	infill_ei	0.239999999999782	0.00344717271754114	0.925908312164448	32
1084	888	0.0100281713456158	0.830804083158723	171	0.925697250601367	4			110.45	-0.000444646190268814		0.00999999999999091	infill_ei	0.190000000000055	0.00126614704212179	0.926343127195424	24
914	909	0.0100900589892596	0.641494989186412	109	0.925690666224608	18			148.17	-0.00077822068881879		0.0100000000002183	infill_ei	0.269999999999527	0.00128109892348663	0.928255671510391	38
18	1937	0.0101048298820738	0.393971426878265	837	0.925581511608968	22			59.0100000000002	-0.000257209136713876		0.0199999999995271	infill_ei	0.25	0.00215744269328677	0.926052547977019	42
