cp	maxdepth	minsplit	minbucket	ganancia_mean	qty	id
-0.01	8	600	600	283080000	5	291
-0.01	8	200	600	283080000	5	292
-0.001	8	600	600	283080000	5	293
-0.001	8	200	600	283080000	5	294
-2	6	800	400	282946666.666667	5	295
-2	6	400	400	282946666.666667	5	296
-2	6	200	400	282946666.666667	5	297
-1	6	800	400	282946666.666667	5	298
-1	6	400	400	282946666.666667	5	299
-1	6	200	400	282946666.666667	5	300
-0.5	6	800	400	282946666.666667	5	301
-0.5	6	400	400	282946666.666667	5	302
-0.5	6	200	400	282946666.666667	5	303
-0.1	6	800	400	282946666.666667	5	304
-0.1	6	400	400	282946666.666667	5	305
-0.1	6	200	400	282946666.666667	5	306
-0.01	6	800	400	282946666.666667	5	307
-0.01	6	400	400	282946666.666667	5	308
-0.01	6	200	400	282946666.666667	5	309
-0.001	6	800	400	282946666.666667	5	310
-0.001	6	400	400	282946666.666667	5	311
-0.001	6	200	400	282946666.666667	5	312
-2	8	400	200	282773333.333333	5	313
-2	8	200	200	282773333.333333	5	314
-2	8	100	200	282773333.333333	5	315
-1	8	400	200	282773333.333333	5	316
-1	8	200	200	282773333.333333	5	317
-1	8	100	200	282773333.333333	5	318
-0.5	8	400	200	282773333.333333	5	319
-0.5	8	200	200	282773333.333333	5	320
-0.5	8	100	200	282773333.333333	5	321
-0.1	8	400	200	282773333.333333	5	322
-0.1	8	200	200	282773333.333333	5	323
-0.1	8	100	200	282773333.333333	5	324
-0.01	8	400	200	282773333.333333	5	325
-0.01	8	200	200	282773333.333333	5	326
-0.01	8	100	200	282773333.333333	5	327
-0.001	8	400	200	282773333.333333	5	328
-0.001	8	200	200	282773333.333333	5	329
-0.001	8	100	200	282773333.333333	5	330
-2	12	1000	500	282386666.666667	5	331
-1	12	1000	500	282386666.666667	5	332
-0.5	12	1000	500	282386666.666667	5	333
-0.1	12	1000	500	282386666.666667	5	334
-0.01	12	1000	500	282386666.666667	5	335
-0.001	12	1000	500	282386666.666667	5	336
-2	14	1000	500	282386666.666667	5	337
-1	14	1000	500	282386666.666667	5	338
-0.5	14	1000	500	282386666.666667	5	339
-0.1	14	1000	500	282386666.666667	5	340
-0.01	14	1000	500	282386666.666667	5	341
-0.001	14	1000	500	282386666.666667	5	342
-2	16	1000	500	282386666.666667	5	343
-1	16	1000	500	282386666.666667	5	344
-0.5	16	1000	500	282386666.666667	5	345
-0.1	16	1000	500	282386666.666667	5	346
-0.01	16	1000	500	282386666.666667	5	347
-0.001	16	1000	500	282386666.666667	5	348
-2	20	1000	500	282386666.666667	5	349
-1	20	1000	500	282386666.666667	5	350
-0.5	20	1000	500	282386666.666667	5	351
-0.1	20	1000	500	282386666.666667	5	352
-0.01	20	1000	500	282386666.666667	5	353
-0.001	20	1000	500	282386666.666667	5	354
-2	25	1000	500	282386666.666667	5	355
-1	25	1000	500	282386666.666667	5	356
-0.5	25	1000	500	282386666.666667	5	357
-0.1	25	1000	500	282386666.666667	5	358
-0.01	25	1000	500	282386666.666667	5	359
-0.001	25	1000	500	282386666.666667	5	360
-2	30	1000	500	282386666.666667	5	361
-1	30	1000	500	282386666.666667	5	362
-0.5	30	1000	500	282386666.666667	5	363
-0.1	30	1000	500	282386666.666667	5	364
-0.01	30	1000	500	282386666.666667	5	365
-0.001	30	1000	500	282386666.666667	5	366
-2	4	20	60	282386666.666666	5	367
-1	4	20	60	282386666.666666	5	368
-0.5	4	20	60	282386666.666666	5	369
-0.1	4	20	60	282386666.666666	5	370
-0.01	4	20	60	282386666.666666	5	371
-0.001	4	20	60	282386666.666666	5	372
-2	10	600	600	282333333.333333	5	373
-2	10	200	600	282333333.333333	5	374
-1	10	600	600	282333333.333333	5	375
-1	10	200	600	282333333.333333	5	376
-0.5	10	600	600	282333333.333333	5	377
-0.5	10	200	600	282333333.333333	5	378
-0.1	10	600	600	282333333.333333	5	379
-0.1	10	200	600	282333333.333333	5	380
-0.01	10	600	600	282333333.333333	5	381
-0.01	10	200	600	282333333.333333	5	382
-0.001	10	600	600	282333333.333333	5	383
-0.001	10	200	600	282333333.333333	5	384
-2	6	1000	333.333333333333	282186666.666667	5	385
-1	6	1000	333.333333333333	282186666.666667	5	386
-0.5	6	1000	333.333333333333	282186666.666667	5	387
-0.1	6	1000	333.333333333333	282186666.666667	5	388
-0.01	6	1000	333.333333333333	282186666.666667	5	389
-0.001	6	1000	333.333333333333	282186666.666667	5	390
-2	8	400	133.333333333333	282040000	5	391
-1	8	400	133.333333333333	282040000	5	392
-0.5	8	400	133.333333333333	282040000	5	393
-0.1	8	400	133.333333333333	282040000	5	394
-0.01	8	400	133.333333333333	282040000	5	395
-0.001	8	400	133.333333333333	282040000	5	396
-2	12	600	600	281933333.333333	5	397
-2	12	200	600	281933333.333333	5	398
-1	12	600	600	281933333.333333	5	399
-1	12	200	600	281933333.333333	5	400
-0.5	12	600	600	281933333.333333	5	401
-0.5	12	200	600	281933333.333333	5	402
-0.1	12	600	600	281933333.333333	5	403
-0.1	12	200	600	281933333.333333	5	404
-0.01	12	600	600	281933333.333333	5	405
-0.01	12	200	600	281933333.333333	5	406
-0.001	12	600	600	281933333.333333	5	407
-0.001	12	200	600	281933333.333333	5	408
-2	14	600	600	281933333.333333	5	409
-2	14	200	600	281933333.333333	5	410
-1	14	600	600	281933333.333333	5	411
-1	14	200	600	281933333.333333	5	412
-0.5	14	600	600	281933333.333333	5	413
-0.5	14	200	600	281933333.333333	5	414
-0.1	14	600	600	281933333.333333	5	415
-0.1	14	200	600	281933333.333333	5	416
-0.01	14	600	600	281933333.333333	5	417
-0.01	14	200	600	281933333.333333	5	418
-0.001	14	600	600	281933333.333333	5	419
-0.001	14	200	600	281933333.333333	5	420
-2	16	600	600	281933333.333333	5	421
-2	16	200	600	281933333.333333	5	422
-1	16	600	600	281933333.333333	5	423
-1	16	200	600	281933333.333333	5	424
-0.5	16	600	600	281933333.333333	5	425
-0.5	16	200	600	281933333.333333	5	426
-0.1	16	600	600	281933333.333333	5	427
-0.1	16	200	600	281933333.333333	5	428
-0.01	16	600	600	281933333.333333	5	429
-0.01	16	200	600	281933333.333333	5	430
-0.001	16	600	600	281933333.333333	5	431
-0.001	16	200	600	281933333.333333	5	432
-2	20	600	600	281933333.333333	5	433
-2	20	200	600	281933333.333333	5	434
-1	20	600	600	281933333.333333	5	435
-1	20	200	600	281933333.333333	5	436
-0.5	20	600	600	281933333.333333	5	437
-0.5	20	200	600	281933333.333333	5	438
-0.1	20	600	600	281933333.333333	5	439
-0.1	20	200	600	281933333.333333	5	440
-0.01	20	600	600	281933333.333333	5	441
-0.01	20	200	600	281933333.333333	5	442
-0.001	20	600	600	281933333.333333	5	443
-0.001	20	200	600	281933333.333333	5	444
-2	25	600	600	281933333.333333	5	445
-2	25	200	600	281933333.333333	5	446
-1	25	600	600	281933333.333333	5	447
-1	25	200	600	281933333.333333	5	448
-0.5	25	600	600	281933333.333333	5	449
-0.5	25	200	600	281933333.333333	5	450
-0.1	25	600	600	281933333.333333	5	451
-0.1	25	200	600	281933333.333333	5	452
-0.01	25	600	600	281933333.333333	5	453
-0.01	25	200	600	281933333.333333	5	454
-0.001	25	600	600	281933333.333333	5	455
-0.001	25	200	600	281933333.333333	5	456
-2	30	600	600	281933333.333333	5	457
-2	30	200	600	281933333.333333	5	458
-1	30	600	600	281933333.333333	5	459
-1	30	200	600	281933333.333333	5	460
-0.5	30	600	600	281933333.333333	5	461
-0.5	30	200	600	281933333.333333	5	462
-0.1	30	600	600	281933333.333333	5	463
-0.1	30	200	600	281933333.333333	5	464
-0.01	30	600	600	281933333.333333	5	465
-0.01	30	200	600	281933333.333333	5	466
-0.001	30	600	600	281933333.333333	5	467
-0.001	30	200	600	281933333.333333	5	468
-2	6	800	266.666666666667	281706666.666667	5	469
-1	6	800	266.666666666667	281706666.666667	5	470
-0.5	6	800	266.666666666667	281706666.666667	5	471
-0.1	6	800	266.666666666667	281706666.666667	5	472
-0.01	6	800	266.666666666667	281706666.666667	5	473
-0.001	6	800	266.666666666667	281706666.666667	5	474
-2	6	1500	500	281680000	5	475
-1	6	1500	500	281680000	5	476
-0.5	6	1500	500	281680000	5	477
-0.1	6	1500	500	281680000	5	478
-0.01	6	1500	500	281680000	5	479
-0.001	6	1500	500	281680000	5	480
-2	5	800	400	281613333.333333	5	481
-2	5	400	400	281613333.333333	5	482
-2	5	200	400	281613333.333333	5	483
-1	5	800	400	281613333.333333	5	484
-1	5	400	400	281613333.333333	5	485
-1	5	200	400	281613333.333333	5	486
-0.5	5	800	400	281613333.333333	5	487
-0.5	5	400	400	281613333.333333	5	488
-0.5	5	200	400	281613333.333333	5	489
-0.1	5	800	400	281613333.333333	5	490
-0.1	5	400	400	281613333.333333	5	491
